استان,نام استان,شهرستان,نام شهرستان,بخش,نام بخش
09,خراسان رضوئ,39,داورزن,01,مرکزي
09,خراسان رضوئ,39,داورزن,02,باشتين
09,خراسان رضوئ,07,درگز,01,چاپشلو
09,خراسان رضوئ,07,درگز,02,لطف آباد
09,خراسان رضوئ,07,درگز,03,مركزئ
09,خراسان رضوئ,07,درگز,04,نوخندان
09,خراسان رضوئ,27,رشتخوار,01,جنگل
09,خراسان رضوئ,27,رشتخوار,02,مركزئ
09,خراسان رضوئ,35,زاوه,01,مركزي
09,خراسان رضوئ,35,زاوه,02,سليمان
09,خراسان رضوئ,08,سبزوار,05,روداب
09,خراسان رضوئ,08,سبزوار,06,ششتمد
09,خراسان رضوئ,08,سبزوار,07,مركزئ
09,خراسان رضوئ,20,سرخس,01,مرزداران
09,خراسان رضوئ,20,سرخس,02,مركزئ
09,خراسان رضوئ,40,صالح آباد,01,مرکزی
09,خراسان رضوئ,40,صالح آباد,02,جنت آباد
09,خراسان رضوئ,22,فريمان,01,قلندرآباد
09,خراسان رضوئ,22,فريمان,02,مركزئ
09,خراسان رضوئ,33,فيروزه,01,مركزي
09,خراسان رضوئ,33,فيروزه,02,طاغنكوه
09,خراسان رضوئ,13,قوچان,01,باجگيران
09,خراسان رضوئ,13,قوچان,03,مركزئ
09,خراسان رضوئ,14,كاشمر,04,مركزئ
09,خراسان رضوئ,14,كاشمر,05,فرح دشت
09,خراسان رضوئ,28,كلات,01,زاوين
09,خراسان رضوئ,28,كلات,02,مركزئ
09,خراسان رضوئ,41,کوهسرخ,01,مرکزي
09,خراسان رضوئ,41,کوهسرخ,02,بررود
09,خراسان رضوئ,15,گناباد,02,مركزئ
09,خراسان رضوئ,15,گناباد,03,كاخك
09,خراسان رضوئ,16,مشهد,01,احمدآباد
09,خراسان رضوئ,16,مشهد,05,مركزئ
09,خراسان رضوئ,16,مشهد,06,رضويه
09,خراسان رضوئ,30,مه ولات,01,شادمهر
09,خراسان رضوئ,30,مه ولات,02,مركزئ
09,خراسان رضوئ,17,نيشابور,02,زبرخان
09,خراسان رضوئ,17,نيشابور,03,سرولايت
09,خراسان رضوئ,17,نيشابور,04,مركزئ
09,خراسان رضوئ,17,نيشابور,05,ميان جلگه
28,خراسان شمالي,01,اسفراين,01,بام وصفي آباد
28,خراسان شمالي,01,اسفراين,02,مركزئ
28,خراسان شمالي,02,بجنورد,04,مركزئ
28,خراسان شمالي,02,بجنورد,05,گرمخان
28,خراسان شمالي,03,جاجرم,01,جلگه سنخواست
28,خراسان شمالي,03,جاجرم,02,جلگه شوقان
28,خراسان شمالي,03,جاجرم,03,مركزئ
28,خراسان شمالي,08,راز و جرگلان,01,مرکزي
28,خراسان شمالي,08,راز و جرگلان,02,غلامان
28,خراسان شمالي,08,راز و جرگلان,03,جرگلان
28,خراسان شمالي,04,شيروان,01,سرحد
28,خراسان شمالي,04,شيروان,02,مركزئ
28,خراسان شمالي,04,شيروان,03,قوشخانه
28,خراسان شمالي,05,فاروج,01,خبوشان
28,خراسان شمالي,05,فاروج,02,مركزئ
28,خراسان شمالي,07,گرمه,01,مركزي
28,خراسان شمالي,06,مانه وسملقان,01,سملقان
28,خراسان شمالي,06,مانه وسملقان,02,مانه
28,خراسان شمالي,06,مانه وسملقان,03,مركزئ
06,خوزستان,16,اميديه,01,جايزان
06,خوزستان,16,اميديه,02,مرکزي
06,خوزستان,21,انديکا,01,آبژدان
06,خوزستان,21,انديکا,02,چلو
06,خوزستان,21,انديکا,03,مرکزي
06,خوزستان,02,انديمشک,01,الوارگرمسيري
06,خوزستان,02,انديمشک,02,مرکزي
06,خوزستان,03,اهواز,02,مرکزي
06,خوزستان,03,اهواز,04,اسماعيليه
06,خوزستان,03,اهواز,05,غيزانيه
06,خوزستان,04,ايذه,02,دهدز
06,خوزستان,04,ايذه,03,مرکزي
06,خوزستان,04,ايذه,04,سوسن
06,خوزستان,01,آبادان,01,اروندکنار
06,خوزستان,01,آبادان,02,مرکزي
06,خوزستان,26,آغاجاري,01,مرکزي
06,خوزستان,26,آغاجاري,02,جولکي
06,خوزستان,15,باغ ملک,02,مرکزي
06,خوزستان,15,باغ ملک,03,صيدون
06,خوزستان,15,باغ ملک,04,ميداود
06,خوزستان,24,باوي,01,مرکزي
06,خوزستان,24,باوي,02,ويس
06,خوزستان,05,بندرماهشهر,01,بندرامام خميني
06,خوزستان,05,بندرماهشهر,02,مرکزي
06,خوزستان,06,بهبهان,02,زيدون
06,خوزستان,06,بهبهان,03,مرکزي
06,خوزستان,06,بهبهان,04,تشان
06,خوزستان,25,حميديه,01,مرکزي
06,خوزستان,25,حميديه,02,گمبوعه
06,خوزستان,07,خرمشهر,01,مرکزي
06,خوزستان,07,خرمشهر,02,مينو
06,خوزستان,08,دزفول,01,سردشت
06,خوزستان,08,دزفول,02,مرکزي
06,خوزستان,08,دزفول,03,چغاميش
06,خوزستان,08,دزفول,04,شهيون
06,خوزستان,09,دشت آزادگان,01,بستان
06,خوزستان,09,دشت آزادگان,02,مرکزي
06,خوزستان,19,رامشير,01,مرکزي
06,خوزستان,19,رامشير,02,مشراگه
06,خوزستان,10,رامهرمز,02,مرکزي
06,خوزستان,10,رامهرمز,03,رودزرد
06,خوزستان,10,رامهرمز,04,سلطان آباد
06,خوزستان,10,رامهرمز,05,ابولفارس
06,خوزستان,11,شادگان,01,مرکزي
06,خوزستان,11,شادگان,02,خنافره
06,خوزستان,11,شادگان,03,دارخوين
06,خوزستان,14,شوش,01,شاوور
06,خوزستان,14,شوش,02,مرکزي
06,خوزستان,14,شوش,03,فتح المبين
06,خوزستان,12,شوشتر,02,مرکزي
06,خوزستان,12,شوشتر,03,شعيبيه
06,خوزستان,12,شوشتر,04,ميان آب
06,خوزستان,27,کارون,01,مرکزي
06,خوزستان,27,کارون,02,سويسه
06,خوزستان,20,گتوند,01,عقيلي
06,خوزستان,20,گتوند,02,مرکزي
06,خوزستان,17,لالي,01,مرکزي
06,خوزستان,17,لالي,02,حتي
06,خوزستان,13,مسجدسليمان,03,مرکزي
06,خوزستان,13,مسجدسليمان,04,گلگير
06,خوزستان,13,مسجدسليمان,05,عنبر
06,خوزستان,22,هفتکل,01,رغيوه
06,خوزستان,22,هفتکل,02,مرکزي
06,خوزستان,18,هنديجان,01,مرکزي
06,خوزستان,18,هنديجان,02,چم خلف عيسي
06,خوزستان,23,هويزه,01,نيسان
06,خوزستان,23,هويزه,02,مرکزي
19,زنجان,01,ابهر,03,مرکزي
19,زنجان,06,ايجرود,01,حلب
19,زنجان,06,ايجرود,02,مرکزي
19,زنجان,03,خدابنده,01,افشار
19,زنجان,03,خدابنده,02,بزينه رود
19,زنجان,03,خدابنده,03,مرکزي
19,زنجان,03,خدابنده,04,سجاس رود
19,زنجان,07,خرمدره,01,مرکزي
19,زنجان,04,زنجان,02,زنجانرود
19,زنجان,04,زنجان,05,مرکزي
19,زنجان,04,زنجان,06,قره پشتلو
19,زنجان,10,سلطانيه,01,مرکزي
19,زنجان,10,سلطانيه,02,باغ حلي
19,زنجان,08,طارم,01,چورزق
19,زنجان,08,طارم,02,مرکزي
19,زنجان,08,طارم,03,گیلوان
19,زنجان,09,ماهنشان,01,انگوران
19,زنجان,09,ماهنشان,02,مرکزي
20,سمنان,06,آرادان,01,مرکزي
20,سمنان,06,آرادان,02,کهن آباد
20,سمنان,01,دامغان,01,اميراباد
20,سمنان,01,دامغان,02,مركزئ
20,سمنان,08,سرخه,01,سرخه
20,سمنان,02,سمنان,01,مركزئ
20,سمنان,03,شاهرود,01,بسطام
20,سمنان,03,شاهرود,02,بيارجمند
20,سمنان,03,شاهرود,03,مركزئ
20,سمنان,04,گرمسار,01,ايوانكي
20,سمنان,04,گرمسار,02,مركزئ
20,سمنان,05,مهدئ شهر,01,شهميرزاد
20,سمنان,05,مهدئ شهر,02,مركزئ
20,سمنان,07,ميامي,01,مرکزي
20,سمنان,07,ميامي,02,کالپوش
11,سيستان وبلوچستان,01,ايرانشهر,01,بزمان
11,سيستان وبلوچستان,01,ايرانشهر,05,مرکزي
11,سيستان وبلوچستان,01,ايرانشهر,06,دامن
11,سيستان وبلوچستان,20,بمپور,01,مرکزي
11,سيستان وبلوچستان,20,بمپور,02,کلاتان
11,سيستان وبلوچستان,21,تفتان,01,مرکزی
11,سيستان وبلوچستان,21,تفتان,02,نازیل
11,سيستان وبلوچستان,21,تفتان,03,گوهرکوه
11,سيستان وبلوچستان,02,چاه بهار,02,مرکزي
11,سيستان وبلوچستان,02,چاه بهار,04,پلان
11,سيستان وبلوچستان,03,خاش,01,مرکزي
11,سيستان وبلوچستان,03,خاش,03,ايرندگان
11,سيستان وبلوچستان,03,خاش,04,پشتکوه
11,سيستان وبلوچستان,22,دشتیاری,01,مرکزی
11,سيستان وبلوچستان,22,دشتیاری,02,باهوکلات
11,سيستان وبلوچستان,12,دلگان,01,مركزي
11,سيستان وبلوچستان,12,دلگان,02,جلگه چاه هاشم
11,سيستان وبلوچستان,08,راسک,01,پيشين
11,سيستان وبلوچستان,08,راسک,03,مرکزي
11,سيستان وبلوچستان,08,راسک,05,پارود
11,سيستان وبلوچستان,04,زابل,04,مرکزي
11,سيستان وبلوچستان,05,زاهدان,01,مرکزي
11,سيستان وبلوچستان,05,زاهدان,03,نصرت آباد
11,سيستان وبلوچستان,05,زاهدان,04,كورين
11,سيستان وبلوچستان,10,زهک,01,جزينک
11,سيستان وبلوچستان,10,زهک,02,مرکزي
11,سيستان وبلوچستان,06,سراوان,01,جالق
